Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2007-10-30,10133650,7.51,2.54,0.0,36919.79,0.84,227.6,0.0,16.8,5.43,898.33,11.115,0.28250371093750004,286.25123914930555,22.637184027777785,0.12564733072916665,76988.54291666667,96.14475086805557,0.004178090104166667,8.433549262152797,0.02439079861111111,2.3649803670247396,2.496458333333333
2007-10-31,10133650,8.0,2.54,0.0,36778.21,0.0,272.95,0.0,15.32,0.55,635.4,7.9350000000000005,0.003487478298611111,252.65346354166664,1.007829861111111,0.10055969746907553,77342.28222222223,145.30189496527777,0.004534782204861111,4.109820963541687,0.02446725260416667,0.9056445312499998,-1.3905989583333336
2007-11-01,10133650,7.72,2.54,0.0,36638.08,0.0,283.29,0.0,13.14,-2.62,503.53,5.26,0.0,211.3809375,0.0,0.08639759114583334,77352.60791666666,154.36705208333333,0.003578713454861111,2.4273459201389107,0.0,0.8995703125,1.0007378472222224
2007-11-02,10133650,8.55,2.54,0.0,36499.45,0.0,282.58,0.0,11.34,-4.42,440.07,3.46,0.0,202.64004557291668,0.0,0.08570028211805555,77445.77791666667,152.78832204861112,0.002923449913194445,1.2643733723958568,0.011066145833333334,0.9619661458333333,-1.1507422892252603
2007-11-03,10133650,7.87,2.54,0.0,36362.38,0.0,285.23,0.0,12.26,-4.27,445.17,3.995,0.0,192.1329144965278,0.0,0.09238174913194444,77707.76277777777,153.9953315972222,0.0020853838541666668,0.7826361762153021,0.022200130208333335,1.0193663194444444,0.42431403266059026
2007-11-04,10133650,8.4,2.54,0.0,36226.91,0.0,281.0,0.0,15.18,-1.62,542.29,6.779999999999999,0.0,203.22981119791666,0.0,0.10305941840277777,77572.23791666668,152.18479427083338,0.0018952600704616972,2.4409011501736355,0.017958550347222227,0.7353819444444444,1.8151236979166667
2007-11-05,10133650,8.41,2.54,0.0,36093.1,0.0,277.85,0.0,16.66,-0.51,588.26,8.075,0.0,201.06712890625005,0.0,0.10068459201388888,77409.31736111111,151.30682291666665,0.0020125528635660814,3.5152180989583575,0.0,1.0874435763888888,2.2377408854166663
2007-11-06,10133650,8.58,2.54,0.0,35961.0,0.0,275.97,0.0,16.19,-1.25,557.3,7.470000000000001,0.0,201.18380859375,0.0,0.08221375868055555,77369.69930555556,149.32113368055556,0.0020331558159722225,3.8573036024305765,0.0,0.01739149305555548,1.5439713541666669
2007-11-07,10133650,8.58,2.54,0.0,35830.68,0.0,278.23,0.0,17.2,-0.93,570.41,8.135,0.0,205.31561631944447,0.0,0.09468888888888889,77458.1951388889,147.19596006944445,0.0019642835937500004,4.347581380208354,0.0,1.382697482638889,2.2933875868055553
2007-11-08,10133650,8.71,2.54,0.0,35702.18,0.0,271.84,0.0,17.77,0.05,613.14,8.91,0.0,215.35888671875,0.0,0.1023748046875,77341.73041666667,143.7161918402778,0.0025782624131944444,5.0618842230903,0.0,1.5992491319444442,2.929262152777778
2007-11-09,10133650,8.49,2.286,0.0,35575.56,0.0,253.21,0.0,16.33,0.74,644.37,8.534999999999998,0.0,237.92305121527775,0.0,0.10393873697916665,77033.46208333335,130.50798350694444,0.0035040470486111114,6.051218532986134,0.0,0.6258984375000001,3.214040798611111
2007-11-10,10133650,8.83,2.286,0.0,35450.88,0.0,235.34,0.0,16.22,2.3,720.82,9.26,0.0,264.0144965277778,0.0,0.12444373135036892,76702.51319444444,135.25646961805555,0.003760020920138889,7.653761935763911,0.0,1.3744444444444444,3.055199652777777
2007-11-11,10133650,9.0,2.286,0.0,35328.19,1.76,197.56,0.0,10.81,0.15,617.37,5.48,0.0,277.5385568576388,0.8339513888888888,0.11588281046549477,76488.63944444444,92.7638828125,0.0035899414930555557,5.295310872395855,0.0,2.984904513888889,2.550546875
2007-11-12,10133650,8.85,2.54,0.0,35207.56,0.0,216.69,0.0,10.01,-2.17,520.72,3.92,0.0,228.1834722222222,3.7133993055555554,0.07974515957302517,77155.83375,137.76290972222222,0.0038035379340277784,0.7431146918402972,0.0,-0.06875434027777778,-1.5313758680555556
2007-11-13,10133650,9.04,2.54,0.0,35089.04,0.0,237.58,0.0,13.75,-0.74,578.77,6.505,0.0,265.8004752604167,0.6962777777777779,0.0630564453125,77172.04444444444,63.9986657986111,0.003838375868055556,1.9713677300347467,0.0,3.1654882812499996,3.09142578125
2007-11-14,10133650,8.42,2.54,0.0,34972.69,0.0,246.59,0.0,8.97,-6.26,382.74,1.3550000000000004,0.0,230.72290147569447,0.845451388888889,0.09800190972222222,77399.69444444445,138.01426822916665,0.003264375260416666,1.4544319661458536,0.01126579861111111,1.3800629340277777,-1.8610286458333332
